Stock Symbol,Technicals,Decision,Tech_old,old Decision,Final Output
BAJAJHLDNG,61.63,SuperBuy,62.16,SuperBuy,SuperBuy
BALRAMCHIN,63.27,SuperBuy,71.72,SuperBuy,SuperBuy
BANCOINDIA,64.78,SuperBuy,65.18,SuperBuy,SuperBuy
BBL,61.34,SuperBuy,62.27,SuperBuy,SuperBuy
BBTC,63.05,SuperBuy,63.56,SuperBuy,SuperBuy
BFINVEST,63.79,SuperBuy,63.45,SuperBuy,SuperBuy
BOSCHLTD,69.1,SuperBuy,67.95,SuperBuy,SuperBuy
CDSL,66.02,SuperBuy,65.47,SuperBuy,SuperBuy
DBCORP,65.79,SuperBuy,65.59,SuperBuy,SuperBuy
GRWRHITECH,76.33,SuperBuy,76.22,SuperBuy,SuperBuy
HERITGFOOD,67.41,SuperBuy,66.93,SuperBuy,SuperBuy
INDIAGLYCO,72.34,IntraBuy,72.78,IntraBuy,IntraBuy
ITDCEM,74.57,SuperBuy,74.43,SuperBuy,SuperBuy
JINDALSAW,62.43,SuperBuy,62.17,SuperBuy,SuperBuy
JPPOWER,65.46,SuperBuy,63.63,SuperBuy,SuperBuy
LTFOODS,67.32,SuperBuy,65.75,SuperBuy,SuperBuy
MAZDOCK,62.83,SuperBuy,62.96,SuperBuy,SuperBuy
MOTHERSON,74.45,SuperBuy,65.72,SuperBuy,SuperBuy
NATIONALUM,67.15,SuperBuy,65.67,SuperBuy,SuperBuy
NAVA,70.86,IntraBuy,71.82,IntraBuy,IntraBuy
NEWGEN,65.26,SuperBuy,64.29,SuperBuy,SuperBuy
PGIL,71.47,SuperBuy,62.35,SuperBuy,SuperBuy
POLYMED,61.84,SuperBuy,62.14,SuperBuy,SuperBuy
RPGLIFE,72.98,SuperBuy,72.02,SuperBuy,SuperBuy
STYLAMIND,68.39,SuperBuy,68.65,SuperBuy,SuperBuy
STYRENIX,62.34,SuperBuy,61.38,SuperBuy,SuperBuy
TCPLPACK,62.93,SuperBuy,62.63,SuperBuy,SuperBuy
TORNTPHARM,69.83,SuperBuy,69.41,SuperBuy,SuperBuy
TRENT,75.18,SuperBuy,74.83,SuperBuy,SuperBuy
UTIAMC,62.75,SuperBuy,62.23,SuperBuy,SuperBuy
VARROC,62.02,SuperBuy,61.32,SuperBuy,SuperBuy
WABAG,76.35,SuperBuy,67.07,SuperBuy,SuperBuy
